Ticker,Price(4/1/22),Enterprise Value/EBITDA,Status,Price(5/5/22),Price(7/1/22)
adbe,458.19,32.72,1,402.06,364.99
adi,165.36,32.78,1,159.06,144.67
adsk,213.04,63.97,1,198.95,170.36
aes,26.22,39.13,1,21.53,21.31
altr,63.8,136.17,1,53.63,52.5
amd,108.19,47.43,1,96.48,75.15
amt,256.95,27.23,1,242.81,255.3
aon,328.83,30.76,1,285.2,269.41
bbby,22.84,192.04,1,13.15,4.94
bf-b,67.85,27.51,1,65.69,70.21
bsx,44.99,28.54,1,42.24,37.22
camp,7.16,29.36,1,5.7,4.33
cci,189.04,30.73,1,182.15,169.1
clx,142.83,31.85,1,149.59,140.01
cmg,1594.04,43.59,1,1369.81,1303.05
cnx,21.02,215.67,1,20.14,16.71
cost,575.57,26.46,1,520.3,479
crm,212.25,57.86,1,172.26,164.05
ctxs,101.49,29.74,1,101.08,97.17
dis,137,27.71,1,113.06,94.15
ea,125.23,26.14,1,119.92,121.11
ebay,57.71,32.06,1,48.6,41.54
eqt,36.03,39.27,1,41.09,35.18
ew,123.07,38.68,1,102.97,93.96
expe,198.2,31,1,140.48,94.02
ffiv,209.17,25.04,1,171.08,153.04
flr,29.36,93.16,1,25.74,24.3
ge,92.49,95.05,1,78.47,63.66
hp,44.2,139.78,1,47.88,43.41
iff,134.33,25.37,1,123.99,120.56
intu,483.93,44.87,1,407.59,384
isrg,305.54,48.91,1,234.76,200.01
lly,292.67,35.76,1,291.33,325.25
lsi,144.19,29.91,1,126.59,111.66
ma,363.97,31.86,1,354.24,311.81
mar,173.68,35.99,1,178.1,135.36
mkc,101.92,25.98,1,97.17,83.1
nee,85.71,25.44,1,71.98,77.76
nke,133.52,30.79,1,118.81,102.19
nov,20.22,55.67,1,18.73,16.91
nvda,267.12,62.53,1,190.64,149.12
peg,71.06,65.73,1,69.32,62.98
pld,165.8,27.1,1,146.02,117
psa,396.51,29.08,1,349.64,311.01
px,12.28,28.51,1,12.1,11.12
rok,284.48,26.19,1,214.95,195.33
rop,476.95,27.09,1,450.1,394.65
stz,233.71,54.39,1,253.9,233.24
syk,269.05,30.61,1,239.87,198.93
tsla,1084.59,117.15,1,880.24,680.83
v,226.36,27.09,1,206.96,196.6
vrsn,225.27,27.33,1,176,164.23
wynn,80.63,61.3,1,68.96,57
znga,9.21,37.31,1,8.28,0
,,,,(5 of 54 imp),(2 of 54 imp)
